구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
KT,7,0.304,28,23,4,7,2,0,1,3,0,0,4,1,6,0
LG,9,0.250,41,32,4,8,0,0,0,3,0,0,6,2,4,0
NC,6,0.348,25,23,5,8,3,0,2,6,0,0,2,0,6,0
SSG,10,0.226,41,31,8,7,1,0,3,6,0,0,10,0,12,0
두산,9,0.353,39,34,2,12,3,0,2,9,0,0,4,1,6,1
롯데,8,0.414,35,29,6,12,3,0,0,7,0,0,6,0,6,0
삼성,7,0.259,31,27,6,7,1,0,2,7,0,0,3,1,5,0
키움,10,0.229,37,35,2,8,0,0,0,0,0,0,2,0,7,1
한화,9,0.290,38,31,3,9,2,1,1,5,0,0,6,1,5,0
고척,5,0.200,21,20,0,4,0,0,0,0,0,0,1,0,5,1
광주,37,0.276,151,127,19,35,7,0,7,23,0,0,20,3,30,1
대구,2,0.222,10,9,2,2,0,0,0,1,0,0,1,0,1,0
대전,6,0.300,26,20,3,6,2,1,1,5,0,0,5,1,3,0
문학,4,0.273,15,11,5,3,0,0,2,4,0,0,4,0,4,0
사직,6,0.381,26,21,5,8,2,0,0,3,0,0,5,0,5,0
수원,3,0.455,12,11,2,5,1,0,0,2,0,0,1,0,3,0
잠실,12,0.326,54,46,4,15,3,0,1,8,0,0,6,2,6,0
3~4월,22,0.316,89,76,11,24,5,0,3,12,0,0,12,1,14,2
5월,21,0.324,91,74,11,24,5,1,2,15,0,0,14,2,13,0
6월,23,0.262,96,84,10,22,4,0,4,14,0,0,11,1,22,0
7월,9,0.258,39,31,8,8,1,0,2,5,0,0,6,2,8,0
화,12,0.326,51,43,8,14,5,1,2,8,0,0,7,1,8,0
수,14,0.283,57,46,7,13,4,0,1,6,0,0,9,2,10,0
목,10,0.182,42,33,5,6,0,0,2,5,0,0,9,0,12,0
금,12,0.326,51,46,6,15,1,0,3,11,0,0,4,1,9,0
토,14,0.320,62,50,8,16,3,0,1,8,0,0,9,2,10,0
일,13,0.298,52,47,6,14,2,0,2,8,0,0,5,0,8,2
홈,37,0.276,151,127,19,35,7,0,7,23,0,0,20,3,30,1
방문,38,0.312,164,138,21,43,8,1,4,23,0,0,23,3,27,1
주간,12,0.256,47,39,6,10,1,0,2,9,0,0,7,0,9,2
야간,63,0.301,268,226,34,68,14,1,9,37,0,0,36,6,48,0
전반기,75,0.294,315,265,40,78,15,1,11,46,0,0,43,6,57,2
