구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자없음,0.260,131,34,10,1,6,6,16,4,30,0
1루,0.303,66,20,4,0,2,6,12,0,14,1
2루,0.400,20,8,1,0,0,6,3,0,5,0
3루,0.222,9,2,0,0,0,2,3,0,2,0
"1,2루",0.474,19,9,0,0,2,13,4,0,0,1
"1,3루",0.100,10,1,0,0,1,4,1,0,2,0
"2,3루",0.500,2,1,0,0,0,1,3,1,1,0
만루,0.375,8,3,0,0,0,8,1,1,3,0
주자있음,0.328,134,44,5,0,5,40,27,2,27,2
득점권,0.353,68,24,1,0,3,34,15,2,13,1
0-0,0.542,24,13,1,0,4,9,0,1,0,0
1-0,0.310,29,9,1,0,1,6,0,0,0,0
2-0,0.500,2,1,1,0,0,1,0,1,0,0
3-0,-,0,0,0,0,0,1,10,0,0,0
0-1,0.391,23,9,2,0,1,4,0,0,0,0
1-1,0.409,22,9,5,0,1,4,0,0,0,0
2-1,0.222,18,4,1,0,1,3,0,0,0,1
3-1,0.200,5,1,0,0,0,0,19,0,0,0
0-2,0.100,20,2,0,0,1,3,0,1,8,0
1-2,0.189,37,7,2,0,0,4,0,1,16,1
2-2,0.273,44,12,1,1,1,5,0,2,20,0
3-2,0.268,41,11,1,0,1,6,14,0,13,0
1회,0.313,32,10,1,0,1,7,7,1,5,1
2회,0.281,32,9,4,0,1,1,3,0,10,0
3회,0.303,33,10,2,0,1,6,3,0,10,0
4회,0.222,27,6,0,0,2,7,8,2,9,1
5회,0.400,25,10,2,0,2,7,6,1,4,0
6회,0.222,36,8,2,0,0,2,5,0,8,0
7회,0.333,27,9,2,0,2,7,3,0,6,0
8회,0.269,26,7,1,1,1,2,3,2,2,0
9회,0.360,25,9,1,0,1,7,5,0,3,0
연장,0.000,2,0,0,0,0,0,0,0,0,0
1~3회,0.299,97,29,7,0,3,14,13,1,25,1
4~6회,0.273,88,24,4,0,4,16,19,3,21,1
7회이후,0.313,80,25,4,1,4,16,11,2,11,0
4번타자,0.297,236,70,14,1,11,42,38,6,50,2
5번타자,0.304,23,7,1,0,0,2,5,0,5,0
6번타자,0.000,4,0,0,0,0,0,0,0,2,0
8번타자,0.000,1,0,0,0,0,0,0,0,0,0
9번타자,1.000,1,1,0,0,0,2,0,0,0,0
좌투수,0.338,74,25,4,1,7,22,11,1,19,0
우투수,0.288,163,47,10,0,2,19,24,3,34,2
언더투수,0.214,28,6,1,0,2,5,8,2,4,0
0아웃,0.294,109,32,9,1,5,11,12,1,24,0
1아웃,0.269,67,18,2,0,3,15,19,2,14,2
2아웃,0.315,89,28,4,0,3,20,12,3,19,0
