idx,code,avg,slg,bbk,wpa,re24,obp
0,50066,0.226,0.343,0.214,0.0,0.0,0.259
1,50165,0.268,0.545,0.405,-0.007,0.05,0.355
2,50202,0.291,0.35,0.633,0.0,0.0,0.355
3,50293,0.239,0.31,0.4,-0.002,-0.12,0.321
4,50350,0.268,0.364,0.513,-0.014,-0.2,0.328
5,50458,0.27,0.311,0.782,-0.001,-0.075,0.338
6,50468,0.28,0.477,0.561,0.0,0.115,0.411
7,50469,0.209,0.367,0.31,-0.024,-0.28,0.272
8,50500,0.265,0.323,0.414,-0.004,-0.24,0.308
9,50506,0.279,0.392,0.896,-0.007,-0.2,0.357
10,50704,0.188,0.255,0.241,-0.019,-0.31,0.257
11,50707,0.221,0.289,0.364,-0.01,-0.215,0.298
12,50709,0.228,0.288,0.239,-0.006,-0.255,0.274
13,50730,0.265,0.428,0.333,-0.014,-0.19,0.344
14,50820,0.233,0.434,0.304,-0.008,-0.18,0.312
15,50854,0.276,0.375,0.59,-0.007,-0.13,0.332
16,50923,0.276,0.528,0.337,0.0,-0.03,0.358
17,51004,0.271,0.404,0.44,-0.02,-0.135,0.336
18,51100,0.242,0.346,0.288,0.0,0.0,0.316
19,51144,0.17,0.28,0.367,-0.013,-0.245,0.265
20,51203,0.235,0.321,0.28,-0.001,-0.14,0.298
21,51309,0.243,0.374,0.465,-0.016,-0.3,0.316
22,51324,0.259,0.374,0.241,-0.03,-0.37,0.297
23,51344,0.23,0.345,0.383,-0.022,-0.24,0.322
24,51417,0.29,0.365,0.439,-0.003,-0.08,0.356
25,51463,0.299,0.483,0.59,0.0,0.095,0.367
26,51551,0.204,0.274,0.424,0.0,-0.215,0.289
27,51714,0.268,0.411,0.327,-0.03,-0.23,0.321
28,51725,0.257,0.394,0.276,-0.013,-0.16,0.306
29,51817,0.257,0.42,0.808,0.007,0.1,0.398
30,51907,0.236,0.371,0.336,-0.012,-0.12,0.325
31,52009,0.308,0.488,0.401,-0.005,0.025,0.386
32,52125,0.206,0.353,0.475,-0.017,-0.37,0.308
33,52348,0.21,0.352,0.134,-0.009,-0.26,0.273
34,52366,0.281,0.484,0.595,0.004,0.0,0.374
35,52415,0.23,0.355,0.288,-0.019,-0.26,0.269
36,52526,0.228,0.402,0.338,-0.001,-0.21,0.301
37,52547,0.278,0.397,0.555,0.001,-0.01,0.371
38,52591,0.314,0.382,0.239,0.0,0.0,0.337
39,52605,0.237,0.362,0.355,0.0,-0.05,0.307
40,52630,0.3,0.48,0.538,-0.015,-0.11,0.357
41,52712,0.289,0.43,0.615,-0.005,-0.055,0.371
42,52806,0.307,0.454,0.8,0.009,0.08,0.352
43,52827,0.222,0.42,0.132,-0.021,-0.34,0.255
44,52904,0.3,0.465,0.593,-0.003,-0.03,0.373
45,53123,0.297,0.473,0.505,0.0,-0.09,0.354
46,53211,0.214,0.422,0.551,-0.023,-0.29,0.304
47,53344,0.237,0.307,0.4,-0.001,-0.25,0.324
48,53404,0.227,0.289,0.111,-0.009,-0.25,0.264
49,53554,0.254,0.34,0.303,-0.003,-0.2,0.304
50,53764,0.246,0.336,0.315,-0.014,-0.19,0.29
51,53827,0.335,0.489,0.522,0.027,0.12,0.393
52,53955,0.272,0.423,0.51,-0.013,-0.04,0.359
53,60343,0.238,0.388,0.236,-0.005,-0.25,0.294
54,60523,0.277,0.398,0.598,0.0,-0.12,0.361
55,60558,0.249,0.38,0.271,0.0,-0.125,0.302
56,60566,0.264,0.285,0.459,0.0,-0.005,0.287
57,61102,0.26,0.399,0.397,-0.011,-0.17,0.326
58,61186,0.292,0.367,0.787,-0.002,-0.18,0.366
59,61197,0.272,0.391,0.398,-0.002,-0.18,0.323
60,61208,0.265,0.336,0.55,0.0,-0.1,0.323
61,61353,0.293,0.393,0.231,-0.007,-0.18,0.326
62,61404,0.274,0.363,0.748,-0.005,-0.13,0.338
63,61554,0.228,0.329,0.29,0.0,-0.085,0.313
64,61566,0.255,0.302,0.429,-0.003,-0.18,0.315
65,61700,0.253,0.351,0.568,0.0,-0.02,0.358
66,61743,0.27,0.378,0.324,-0.003,-0.23,0.327
67,61869,0.234,0.344,0.195,0.0,-0.12,0.268
68,62025,0.269,0.423,0.387,-0.001,-0.18,0.317
69,62234,0.267,0.316,0.684,0.0,-0.01,0.355
70,62244,0.254,0.353,0.552,-0.007,-0.14,0.326
71,62265,0.26,0.396,0.67,-0.005,-0.19,0.356
72,62332,0.219,0.292,0.219,0.0,-0.09,0.275
73,62356,0.26,0.336,0.282,-0.001,-0.13,0.324
74,62404,0.301,0.477,0.468,0.003,0.08,0.366
75,62409,0.219,0.302,0.682,0.0,0.0,0.325
76,62415,0.283,0.381,0.623,-0.01,-0.16,0.344
77,62556,0.255,0.339,0.407,0.0,-0.09,0.32
78,62558,0.235,0.352,0.588,-0.005,-0.145,0.338
79,62700,0.266,0.365,0.266,-0.013,-0.22,0.319
80,62797,0.222,0.286,0.517,-0.01,-0.25,0.299
81,62802,0.252,0.332,0.313,0.0,0.0,0.311
82,62864,0.231,0.317,0.669,-0.006,-0.16,0.321
83,62884,0.269,0.371,0.562,-0.001,-0.12,0.363
84,62895,0.256,0.469,0.498,-0.004,-0.05,0.359
85,62907,0.316,0.412,0.749,-0.0,0.02,0.385
86,62908,0.301,0.398,0.417,0.0,0.0,0.323
87,62925,0.279,0.408,0.416,-0.006,-0.18,0.336
88,62931,0.275,0.444,0.421,-0.003,-0.09,0.345
89,62934,0.24,0.404,0.413,0.0,-0.12,0.305
90,62947,0.314,0.537,0.344,0.014,0.13,0.384
91,63123,0.256,0.388,0.289,-0.006,-0.18,0.307
92,63202,0.223,0.293,0.312,0.0,-0.07,0.303
93,63257,0.254,0.361,0.804,-0.001,-0.09,0.362
94,63260,0.268,0.39,0.351,0.0,-0.05,0.334
95,63440,0.238,0.325,0.3,0.0,-0.11,0.299
96,63450,0.214,0.301,0.43,0.0,-0.105,0.293
97,63700,0.236,0.275,0.525,-0.004,-0.23,0.33
98,63704,0.265,0.362,0.477,-0.002,-0.11,0.336
99,63722,0.216,0.311,0.368,-0.003,-0.14,0.295
100,63905,0.272,0.455,0.459,-0.003,-0.235,0.335
101,63920,0.202,0.249,0.62,0.0,-0.09,0.316
102,63963,0.261,0.386,0.863,0.0,-0.13,0.367
103,64004,0.279,0.339,0.574,-0.003,-0.18,0.337
104,64006,0.256,0.335,0.422,-0.014,-0.22,0.304
