idx,code,era,kpit,kbb,wpa,re24,whip
0,50030,3.48,0.044,2.203,0.033,0.86,1.332
1,50040,4.11,0.045,2.246,0.036,0.76,1.483
2,50126,4.59,0.042,1.821,0.007,0.56,1.5
3,50157,4.52,0.041,1.926,0.012,0.56,1.539
4,50234,2.79,0.068,4.432,0.08,1.055,1.097
5,50360,5.05,0.023,0.882,0.001,0.45,1.72
6,50404,3.2,0.049,2.995,0.06,0.93,1.32
7,50441,7.06,0.04,1.71,-0.12,-0.505,1.839
8,50449,5.76,0.03,0.831,-0.047,-0.23,1.8
9,50464,8.58,0.03,1.222,-0.104,-1.155,1.991
10,50524,5.4,0.04,2.417,-0.006,-0.01,1.608
11,50558,3.35,0.056,2.66,0.064,1.33,1.326
12,50636,2.79,0.054,4.625,0.167,1.86,1.169
13,50640,4.34,0.05,2.203,-0.005,0.48,1.472
14,50720,6.37,0.026,0.911,-0.105,0.03,1.764
15,50726,3.25,0.048,2.111,0.014,0.56,1.602
16,50815,3.19,0.056,3.195,0.098,1.33,1.139
17,50835,6.17,0.038,1.244,-0.112,-0.45,1.864
18,50859,4.94,0.043,1.612,-0.012,0.33,1.591
19,50912,4.87,0.045,1.939,-0.047,0.16,1.531
20,50992,3.25,0.039,1.476,0.002,0.56,1.398
21,51136,2.29,0.064,3.023,0.117,1.67,1.208
22,51230,3.38,0.05,3.267,0.026,0.45,1.411
23,51234,2.98,0.055,2.667,0.142,2.33,1.508
24,51257,2.32,0.077,3.554,0.122,1.835,1.153
25,51264,5.52,0.039,1.73,0.002,0.12,1.611
26,51359,3.45,0.054,1.375,0.003,0.56,1.66
27,51439,5.47,0.055,1.447,-0.102,-0.185,1.728
28,51516,6.43,0.051,1.155,0.0,0.02,1.993
29,51567,5.4,0.045,1.653,0.02,-0.23,1.613
30,51619,3.6,0.053,2.971,0.04,0.94,1.267
31,51636,4.91,0.07,3.833,-0.17,-0.67,1.691
32,51648,3.91,0.06,1.767,-0.02,0.33,1.421
33,51715,4.7,0.035,1.0,-0.07,-0.525,1.957
34,51722,3.97,0.06,2.486,0.075,1.08,1.418
35,51761,4.5,0.036,1.04,-0.001,0.47,1.658
36,51833,5.86,0.054,2.333,0.005,-1.14,1.537
37,51863,3.01,0.06,4.037,0.074,1.33,1.048
38,51948,4.05,0.04,1.281,-0.024,-0.17,1.556
39,51967,3.68,0.061,2.274,0.068,1.33,1.358
40,52043,3.37,0.058,3.19,0.006,0.56,1.238
41,52145,2.3,0.053,3.775,0.164,2.33,1.088
42,52234,3.55,0.048,1.663,-0.047,0.33,1.539
43,52257,2.66,0.045,2.152,0.05,1.33,1.153
44,52308,4.05,0.036,2.25,-0.02,0.33,1.533
45,52457,3.1,0.051,3.039,0.075,1.33,1.315
46,52528,3.8,0.054,2.848,-0.034,0.6,1.364
47,52530,5.88,0.057,1.947,0.001,-0.26,1.96
48,52557,5.31,0.057,2.07,-0.027,0.27,1.713
49,52606,2.51,0.051,2.92,0.072,1.33,1.244
50,52637,2.56,0.054,4.269,0.07,1.275,1.208
51,52645,5.89,0.039,1.143,-0.138,-1.62,1.759
52,52701,3.6,0.055,2.439,0.013,0.56,1.31
53,52707,4.13,0.04,1.27,0.04,0.78,1.469
54,52720,3.23,0.054,2.489,0.021,1.33,1.287
55,52808,2.27,0.054,2.76,0.276,2.89,1.223
56,52833,6.5,0.031,1.28,-0.092,-0.685,1.696
57,52950,4.54,0.05,2.846,-0.068,0.11,1.563
58,53040,5.62,0.043,2.5,-0.117,-1.12,1.631
59,53375,2.88,0.053,3.429,0.091,1.31,1.216
60,53613,4.09,0.035,1.615,0.082,1.43,1.349
61,53645,6.05,0.036,1.241,-0.177,-1.18,1.759
62,53664,3.76,0.049,2.462,0.038,0.77,1.316
63,53714,1.48,0.049,4.222,0.169,2.33,1.068
64,53825,4.07,0.045,2.214,-0.028,0.33,1.476
